Track_Name,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Burning Up (Fire),BTS,0.626,0.706,10,-3.201,0,0.0596,0.00225,0.0,0.122,0.534,99.939
Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044
Serendipity - Full Length Edition,BTS,0.422,0.578,8,-7.524,1,0.0548,0.443,0.0,0.231,0.227,128.921
Boy With Luv (Feat. Halsey),BTS;Halsey,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947
Forever Young,BLACKPINK,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826
dimple,BTS,0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872
Save Me,BTS,0.613,0.822,1,-3.48,1,0.062,0.0269,0.0,0.0783,0.54,139.936
Blue & Grey,BTS,0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953
Airplane pt.2,BTS,0.77,0.817,0,-4.092,0,0.0339,0.0265,0.000103,0.084,0.866,139.979
Film out,BTS,0.499,0.709,10,-6.404,1,0.134,0.296,0.0,0.331,0.314,164.032
Make It Right,BTS,0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782
Not Today,BTS,0.593,0.945,8,-3.408,1,0.126,0.00174,0.0,0.923,0.674,110.023
Louder than bombs,BTS,0.643,0.667,0,-6.947,0,0.151,0.0432,0.0,0.0904,0.478,145.999
Yet To Come (Hyundai Ver.),BTS,0.508,0.842,1,-3.992,1,0.0612,0.078,0.0,0.0858,0.44,86.041
00:00 (Zero O’Clock),BTS,0.56,0.547,1,-6.456,1,0.0675,0.0806,0.0,0.11,0.199,157.962
Friends,BTS,0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.649,79.979
My Time,BTS,0.674,0.641,0,-5.139,0,0.0339,0.149,0.0,0.0925,0.664,99.91
Crazy Over You,BLACKPINK,0.805,0.66,4,-5.342,1,0.0582,0.0367,6.4e-05,0.215,0.617,114.954
Go Go,BTS,0.856,0.617,10,-5.308,0,0.084,0.171,0.0,0.0857,0.759,136.081
DNA,BTS,0.599,0.775,1,-3.997,0,0.0542,0.022,0.0,0.0669,0.703,129.817
Butter - Megan Thee Stallion Remix,BTS;Megan Thee Stallion,0.739,0.588,8,-4.971,1,0.136,0.00308,0.0,0.109,0.774,109.958
You Never Know,BLACKPINK,0.527,0.462,5,-5.504,1,0.0494,0.227,0.0,0.164,0.334,144.573
Butterfly,BTS,0.461,0.776,6,-4.498,1,0.0565,0.0149,0.0,0.12,0.291,149.985
The Happiest Girl,BLACKPINK,0.439,0.352,0,-9.632,1,0.057,0.587,0.0,0.14,0.548,181.517
Don't Know What To Do,BLACKPINK,0.628,0.64,6,-4.164,0,0.0491,0.0992,0.0,0.138,0.409,129.815
Run,BTS,0.554,0.878,11,-3.02,0,0.0513,0.00146,0.0,0.0998,0.55,132.896
Inner Child,BTS,0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.33,134.953
The Truth Untold (feat. Steve Aoki),BTS;Steve Aoki,0.571,0.422,1,-7.561,0,0.0422,0.374,0.0,0.127,0.169,113.016
STAY,BLACKPINK,0.63,0.432,1,-6.721,1,0.0357,0.551,5.84e-06,0.0962,0.343,87.959
