Track_Name,Artist,X,Y,Z,Acousticness,Energy,Valence
Hard to Love,BLACKPINK,0.7588227997099997,0.5558392828726985,0.39036660902722764,0.00503,0.723,0.443
How You Like That,BLACKPINK,1.3326775020030206,0.5975602204492018,-0.4215888861834757,0.0452,0.787,0.326
FAKE LOVE,BTS,0.8264788349660958,0.36109935602702825,1.1584302835302551,0.00267,0.719,0.345
Shut Down,BLACKPINK,1.2770516107906993,1.6171509734589569,0.12665016324948733,0.00269,0.657,0.651
Euphoria,BTS,0.7176543520563204,0.8951470784217834,-0.02250433332344604,0.394,0.799,0.57
DDU-DU DDU-DU,BLACKPINK,1.5821242405715104,-0.545629524607558,-0.382677071863402,0.0313,0.859,0.39
Run BTS,BTS,2.515821017177636,0.971246586837209,0.4668138366584513,0.0201,0.818,0.696
Yet To Come,BTS,2.165945580955621,-2.011628735013945,-1.1781153009091059,0.0432,0.885,0.683
Pink Venom,BLACKPINK,1.6026222646897919,1.5153801968634155,0.7459691062464247,0.0119,0.719,0.69
Permission to Dance,BTS,1.5515169898018177,0.4957568275076019,-0.044395986735548114,0.00544,0.741,0.646
Butter,BTS,1.0512351549699104,1.3610957308829512,-0.16397473578240335,0.00323,0.459,0.695
Butter,BTS,1.062160532469831,1.3451171931648949,-0.14718264724440983,0.00323,0.459,0.695
Love Shot,EXO,0.8530722286107331,-0.42446154097889266,-0.7411402179975936,0.0702,0.678,0.335
